make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Maruti,Xl6,2019.0,Petrol,15561.0,1,Manual,SUV,Delhi,Delhi,974000.0
Hyundai,Aura,2020.0,Petrol + Cng,44789.0,1,Manual,Sedan,Pune,Maharashtra,814000.0
Maruti,Wagon R 1.0,2013.0,Petrol,47526.0,2,Manual,Hatchback,Patna,Bihar,263099.0
Hyundai,Elite I20,2018.0,Petrol,25724.0,1,Manual,Hatchback,Lucknow,Uttar Pradesh,538200.0
Toyota,Innova Crysta,2017.0,Diesel,85182.0,1,Automatic,SUV,Faridabad,Haryana,1364800.0
Maruti,Ciaz,2016.0,Diesel,88735.0,1,Manual,Sedan,Nagpur,Maharashtra,554100.0
Volkswagen,Polo,2021.0,Petrol,13408.0,1,Manual,Hatchback,Delhi,Delhi,720400.0
Volkswagen,Ameo,2017.0,Diesel,42382.0,1,Automatic,Sedan,New Delhi,Delhi,527200.0
Volkswagen,Ameo,2016.0,Petrol,22434.0,1,Manual,Sedan,Aluva,Kerala,419299.0
Hyundai,Elite I20,2015.0,Petrol,66626.0,1,Manual,Hatchback,Delhi,Delhi,482000.0
Honda,City,2013.0,Petrol,85916.0,1,Manual,Sedan,Surat,Gujarat,407001.0
Maruti,Alto 800,2017.0,Petrol,97842.0,1,Manual,Hatchback,Bharuch,Gujarat,328000.0
Maruti,Ciaz,2019.0,Petrol,70019.0,1,Manual,Sedan,Shahjahanpur,Uttar Pradesh,775000.0
Renault,Duster,2018.0,Petrol + Cng,34396.0,1,Automatic,SUV,Mumbai,Maharashtra,734000.0
Maruti,Ciaz,2017.0,Diesel,56700.0,1,Manual,Sedan,New Delhi,Delhi,543799.0
Maruti,Alto,2021.0,Petrol + Cng,37228.0,1,Manual,Hatchback,Dombivali,Maharashtra,523200.0
Maruti,Dzire,2020.0,Petrol,44629.0,1,Manual,Sedan,Mahendragarh,Haryana,587000.0
Maruti,S Cross,2018.0,Diesel,39649.0,1,Manual,SUV,Chennai,Tamil Nadu,759200.0
Maruti,Wagon R 1.0,2017.0,Petrol,26529.0,1,Manual,Hatchback,Faridabad,Haryana,385000.0
Volkswagen,Polo,2015.0,Petrol,47302.0,2,Manual,Hatchback,Gurgaon,Haryana,454000.0
Mahindra,Scorpio,2020.0,Diesel,56696.0,1,Manual,SUV,Lucknow,Uttar Pradesh,1243100.0
Maruti,Baleno,2018.0,Petrol,48173.0,1,Automatic,Hatchback,Ghaziabad,Uttar Pradesh,579000.0
Maruti,Ciaz,2019.0,Petrol,14738.0,1,Manual,Sedan,Mumbai,Maharashtra,720000.0
Maruti,Vitara Brezza,2021.0,Petrol,10191.0,1,Manual,SUV,New Delhi,Delhi,855100.0
Jaguar,Xf,2013.0,Diesel,29159.0,2,Automatic,Luxury Sedan,Delhi,Delhi,1364800.0
Hyundai,Venue,2021.0,Petrol,29056.0,1,Manual,SUV,Gurgaon,Haryana,751000.0
Mg,Hector,2019.0,Petrol,40223.0,2,Automatic,SUV,Ludhiana,Punjab,1203400.0
Volkswagen,Polo,2015.0,Petrol,34266.0,1,Manual,Hatchback,New Delhi,Delhi,525000.0
Kia,Seltos,2019.0,Petrol,35854.0,1,Manual,SUV,Bangalore K R Puram,Karnataka,1113200.0
Maruti,Dzire,2019.0,Diesel,64275.0,2,Manual,Sedan,Nashik,Maharashtra,849399.0
Tata,Nexon,2018.0,Petrol,27587.0,1,Manual,SUV,Delhi,Delhi,682500.0
Hyundai,Grand I10,2016.0,Petrol,25931.0,1,Manual,Hatchback,Ghaziabad,Uttar Pradesh,469799.0
Maruti,Baleno,2017.0,Petrol,41029.0,1,Manual,Hatchback,Faridabad,Haryana,443099.0
Maruti,Alto,2021.0,Petrol,14121.0,1,Manual,Hatchback,Gurgaon,Haryana,357000.0
Maruti,Baleno,2018.0,Petrol,41612.0,2,Manual,Hatchback,Delhi,Delhi,461800.0
Hyundai,Venue,2020.0,Petrol,30227.0,2,Manual,SUV,Rewari,Haryana,811500.0
Honda,Amaze,2017.0,Diesel,62386.0,2,Manual,Sedan,Surat,Gujarat,471600.0
Hyundai,Elite I20,2017.0,Petrol + Cng,89784.0,1,Manual,Hatchback,Gurgaon,Haryana,624000.0
Tata,Tiago,2018.0,Petrol,53668.0,1,Manual,Hatchback,Nashik,Maharashtra,419000.0
Maruti,Ciaz,2022.0,Petrol,29713.0,1,Manual,Sedan,Chennai,Tamil Nadu,1101000.0
Maruti,Vitara Brezza,2020.0,Petrol,40741.0,1,Manual,SUV,Gandhi Nagar,Gujarat,878000.0
Maruti,Vitara Brezza,2017.0,Diesel,90969.0,1,Manual,SUV,New Delhi,Delhi,619000.0
Maruti,Swift Dzire,2012.0,Petrol,44599.0,1,Manual,Sedan,Mumbai,Maharashtra,379500.0
Hyundai,Grand I10,2017.0,Petrol,51693.0,1,Automatic,Hatchback,New Delhi,Delhi,505000.0
Maruti,Celerio,2018.0,Petrol + Cng,50889.0,1,Manual,Hatchback,Kalyan,Maharashtra,556000.0
Hyundai,Creta,2017.0,Diesel,42908.0,1,Manual,SUV,Delhi,Delhi,750800.0
Hyundai,Eon,2015.0,Petrol,46556.0,1,Manual,Hatchback,Delhi,Delhi,272000.0
Hyundai,Elite I20,2016.0,Petrol,37337.0,1,Manual,Hatchback,Delhi,Delhi,593900.0
Volkswagen,Polo,2013.0,Petrol,39227.0,2,Manual,Hatchback,Mumbai,Maharashtra,361000.0
Maruti,S Cross,2018.0,Diesel,67477.0,1,Manual,SUV,New Delhi,Delhi,646800.0
Volkswagen,Ameo,2018.0,Diesel,84163.0,1,Automatic,Sedan,Ernakulam,Kerala,554000.0
Volkswagen,Polo,2022.0,Petrol,23423.0,1,Automatic,Hatchback,New Delhi,Delhi,967700.0
Maruti,Alto 800,2013.0,Petrol + Cng,37603.0,2,Manual,Hatchback,Surat,Gujarat,264000.0
Hyundai,Creta,2017.0,Petrol,57562.0,2,Manual,SUV,Chennai,Tamil Nadu,760299.0
Maruti,Swift,2018.0,Petrol,59839.0,1,Automatic,Hatchback,Bengaluru,Karnataka,634000.0
Hyundai,I10,2012.0,Petrol,37961.0,1,Manual,Hatchback,Ahmedabad,Gujarat,287999.0
Maruti,Alto 800,2016.0,Petrol,46101.0,3,Manual,Hatchback,Panvel,Maharashtra,268300.0
Maruti,Swift Dzire,2014.0,Petrol,58920.0,1,Manual,Sedan,Ghaziabad,Uttar Pradesh,381000.0
Ford,Ecosport,2020.0,Diesel,100894.0,1,Manual,SUV,Sonipat,Haryana,695000.0
Maruti,Swift Dzire,2014.0,Diesel,64987.0,1,Manual,Sedan,Hyderabad,Telangana,571000.0
Hyundai,Elite I20,2019.0,Petrol,35165.0,1,Manual,Hatchback,Delhi,Delhi,678000.0
Hyundai,New Elantra,2017.0,Diesel,75230.0,1,Automatic,Luxury Sedan,Ahmedabad,Gujarat,1077500.0
Maruti,A Star,2012.0,Petrol,78076.0,1,Manual,Hatchback,Bengaluru,Karnataka,274000.0
Hyundai,Elite I20,2016.0,Petrol,57762.0,2,Manual,Hatchback,Delhi,Delhi,396700.0
Maruti,Swift,2012.0,Petrol,35757.0,3,Manual,Hatchback,Thane,Maharashtra,314000.0
Renault,Kwid,2019.0,Petrol,53413.0,1,Automatic,Hatchback,Chennai,Tamil Nadu,386301.0
Honda,City,2015.0,Petrol,59054.0,2,Manual,Sedan,New Delhi,Delhi,521200.0
Hyundai,I20,2010.0,Petrol,56929.0,2,Manual,Hatchback,Bangalore Central,Karnataka,331000.0
Hyundai,Aura,2020.0,Petrol,4799.0,1,Manual,Sedan,Bhopal,Madhya Pradesh,672000.0
Hyundai,Verna,2014.0,Petrol,18106.0,1,Manual,Sedan,Mumbai,Maharashtra,507000.0
Hyundai,Elite I20,2019.0,Petrol,22543.0,1,Manual,Hatchback,Chandigarh,Chandigarh,644301.0
Honda,City,2014.0,Diesel,94426.0,2,Manual,Sedan,Jaipur,Rajasthan,472000.0
